Id;EntityCreatedAt;EntityModifiedAt;MRID;DocStatusValue;AttributeInstanceComponent;LongNames;DisplayNames;LastRequestDateAndOrTime;DeactivateRequestDateAndOrTime;MarketParticipantStreetAddressCountry;MarketParticipantACERCode;MarketParticipantVATcode;Description;EICParentMarketDocumentMRID;ELCResponsibleMarketParticipantMRID;IsDeleted;AllocatedEICID
50021;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;22T201903146---W;A05;International;380 LIXHE-OBERZ;L_LIXHE_OBERZ;2019-03-22 00:00:00.0000000;NULL;NULL;;NULL;NULL;NULL;10X1001A1001A094;0;3
50022;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;22T-BE-IN-LI025U;A05;International;150.521 AWIRS-LEVAL;BE521_AWIRS_LEVA;2019-02-05 00:00:00.0000000;NULL;BE;;NULL;NULL;NULL;10X1001A1001A094;0;3
50023;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;22T-BE-IN-LI026S;A05;International;150.535 AWIRS-RIMIERE;BE535_AWIRS_RIMI;2019-02-05 00:00:00.0000000;NULL;BE;;NULL;NULL;NULL;10X1001A1001A094;0;3
50024;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;22T2018100511--1;A05;International;150.241 BRUGGE-EEKLO;BE241_BRUGG_EEKL;2019-02-05 00:00:00.0000000;NULL;NULL;;NULL;NULL;NULL;10X1001A1001A094;0;3
50025;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;22T-BE-IN-LI027Q;A05;International;150.538 JUPILLE-RIMIERE;BE538_JUPIL_RIMI;2019-02-05 00:00:00.0000000;NULL;BE;;NULL;NULL;NULL;10X1001A1001A094;0;3
50026;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;22T2018100510--5;A05;International;150.16 BRUGGE-SLYKE;BE16_BRUGG_SLYKE;2019-02-05 00:00:00.0000000;NULL;NULL;;NULL;NULL;NULL;10X1001A1001A094;0;3
50027;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;22T2018100508--F;A05;International;150.15 BRUGGE-SLYKE;BE15_BRUGG_SLYKE;2019-02-05 00:00:00.0000000;NULL;NULL;;NULL;NULL;NULL;10X1001A1001A094;0;3
50028;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;21ZDIMCST------Z;A05;International;Subterminal Dimlington BP;DIMCST;2006-06-13 00:00:00.0000000;NULL;NULL;;NULL;Connection Point;NULL;NULL;0;3
50029;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;21ZENRCST------I;A05;International;Subterminal Teesside Enron;ENRCST;2006-06-13 00:00:00.0000000;NULL;NULL;;NULL;Connection Point;NULL;NULL;0;3
50030;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;21ZILNGST------V;A05;International;Subterminal Isle of Grain, Grain LNG;ILNGST;2006-06-13 00:00:00.0000000;NULL;NULL;;NULL;Connection Point;NULL;NULL;0;3
